model,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,recommended_baseline,selected_mvp
KNN,0.6903313932061454,0.0111112398434002,0.2320173097794996,0.0084494923548779,0.6647908741933657,0.0138109516274981,0.3439319996286274,0.0103715139288118,0.7271571712409971,0.0137438665346725,0.6804554626693572,0.2257806244995996,0.6658795749704841,0.337219730941704,0.7181321387527266,True,False
LogisticRegression,0.8158498357791923,0.0115870991796579,0.3542901793026735,0.0220073565715027,0.6151740935848332,0.0221469122228066,0.4494601886538047,0.0221971721821793,0.7849923697077131,0.0132113080778634,0.820409339867397,0.3617463617463617,0.6162927981109799,0.4558951965065502,0.7854830428000977,False,False
LinearSVC,0.8186246949779118,0.0110641181982965,0.3584049965531951,0.0217262996062843,0.611926205757659,0.0204892937740545,0.4518958705117112,0.0216578605180728,0.7847633602257543,0.0140207276664801,0.8195445373306428,0.3596673596673597,0.6127508854781583,0.4532751091703056,0.78506823991966,False,False
DecisionTree,0.6868718882876388,0.0117101653543242,0.2108500846916893,0.0103204203335184,0.570293634505867,0.0222704927012815,0.3078324031861288,0.0138259912971225,0.6378434829817194,0.0138195451177599,0.6781493225713462,0.2138728323699422,0.6115702479338843,0.3169164882226981,0.6500436996772871,False,True
