model,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,recommended_baseline
RandomForest,0.7881007242600322,0.00926047743056296,0.31443537562762514,0.011575116626143871,0.6222641969821745,0.017868054412952594,0.41761286847973417,0.011225174959189914,0.7640975112328865,0.012216643294816303,0.7807725569328337,0.30384167636786963,0.6162927981109799,0.4070175438596491,0.7638886762108805,True
LogisticRegression,0.8158498357791923,0.011587099179657931,0.3542901793026735,0.02200735657150271,0.6151740935848332,0.0221469122228066,0.44946018865380477,0.022197172182179366,0.7849923697077131,0.013211308077863483,0.820409339867397,0.36174636174636177,0.6162927981109799,0.4558951965065502,0.7854830428000977,False
DecisionTree,0.6868718882876388,0.011710165354324256,0.21085008469168934,0.010320420333518406,0.570293634505867,0.022270492701281525,0.30783240318612887,0.013825991297122545,0.6378434829817194,0.013819545117759936,0.6781493225713462,0.2138728323699422,0.6115702479338843,0.3169164882226981,0.6500436996772871,False
